FID,OBJECTID,Join_Count,TARGET_FID,JOIN_FID,GEOID,NAMELSAD,ALAND,AWATER,INTPTLAT,INTPTLON,KCTA_NAME_,KCTA_ID,Region,Shape_Leng,Shape_Area
0,1,1,1,35,48201100000,Census Tract 1000,3805965.000000000000000,77179.000000000000000,+29.7572831,-95.3627308,Downtown,K001,Inner Loop,30691.208968499999000,41788488.788699999000000
1,2,1,1,36,48201100000,Census Tract 1000,3805965.000000000000000,77179.000000000000000,+29.7572831,-95.3627308,East Downtown,K009,Inner Loop,30691.208968499999000,41788488.788699999000000
2,3,1,1,47,48201100000,Census Tract 1000,3805965.000000000000000,77179.000000000000000,+29.7572831,-95.3627308,Fifth Ward,K003,Inner Loop,30691.208968499999000,41788488.788699999000000
3,4,1,1,49,48201100000,Census Tract 1000,3805965.000000000000000,77179.000000000000000,+29.7572831,-95.3627308,Fourth Ward,K024,Inner Loop,30691.208968499999000,41788488.788699999000000
4,5,1,1,93,48201100000,Census Tract 1000,3805965.000000000000000,77179.000000000000000,+29.7572831,-95.3627308,Midtown,K023,Inner Loop,30691.208968499999000,41788488.788699999000000
5,6,1,1,99,48201100000,Census Tract 1000,3805965.000000000000000,77179.000000000000000,+29.7572831,-95.3627308,Near Northside,K002,Inner Loop,30691.208968499999000,41788488.788699999000000
6,7,1,1,110,48201100000,Census Tract 1000,3805965.000000000000000,77179.000000000000000,+29.7572831,-95.3627308,Second Ward,K008,Inner Loop,30691.208968499999000,41788488.788699999000000
7,8,1,1,125,48201100000,Census Tract 1000,3805965.000000000000000,77179.000000000000000,+29.7572831,-95.3627308,Third Ward,K016,Inner Loop,30691.208968499999000,41788488.788699999000000
8,9,1,1,136,48201100000,Census Tract 1000,3805965.000000000000000,77179.000000000000000,+29.7572831,-95.3627308,Washington East,K029,Inner Loop,30691.208968499999000,41788488.788699999000000
9,10,1,2,35,48201210100,Census Tract 2101,662530.000000000000000,36430.000000000000000,+29.7663846,-95.3513042,Downtown,K001,Inner Loop,15033.406675800001000,7521890.159049999900000
10,11,1,2,47,48201210100,Census Tract 2101,662530.000000000000000,36430.000000000000000,+29.7663846,-95.3513042,Fifth Ward,K003,Inner Loop,15033.406675800001000,7521890.159049999900000
