Geo_FIPS,SE_T017_001,SE_T017_002,SE_T017_003,SE_T017_004,SE_T017_005,SE_T017_006,SE_T017_007,SE_T017_008,SE_T017_009
48201100000,2021,415,372,43,0,43,1606,1148,458
48201210100,58,43,20,23,4,19,15,11,4
48201210400,1584,951,415,536,143,393,633,260,373
48201210500,1809,1298,686,612,144,468,511,331,180
48201210600,1973,1224,718,506,172,334,749,356,393
48201210700,714,478,225,253,66,187,236,130,106
48201210800,812,502,231,271,88,183,310,182,128
48201210900,527,388,143,245,62,183,139,44,95
48201211000,757,435,171,264,109,155,322,216,106
48201211100,1922,1078,408,670,104,566,844,513,331
48201211200,891,578,202,376,7,369,313,139,174
48201211300,1930,1107,351,756,127,629,823,497,326
48201211400,1455,859,320,539,70,469,596,342,254
48201211500,1955,1438,943,495,77,418,517,334,183
48201211600,985,579,328,251,66,185,406,313,93
48201211700,1350,854,488,366,40,326,496,238,258
48201211900,1535,1272,726,546,97,449,263,129,134
48201212300,1711,1205,451,754,161,593,506,333,173
48201212400,903,696,367,329,83,246,207,142,65
48201212500,1332,735,455,280,30,250,597,284,313
48201220100,740,557,251,306,135,171,183,97,86
48201220200,849,612,351,261,106,155,237,115,122
48201220300,1220,869,644,225,71,154,351,236,115
48201220400,1257,986,651,335,97,238,271,111,160
48201220500,1844,875,676,199,57,142,969,508,461
48201220600,1118,809,414,395,118,277,309,198,111
48201220700,1713,1208,522,686,175,511,505,294,211
48201220800,869,612,204,408,107,301,257,138,119
48201220900,449,329,184,145,59,86,120,39,81
48201221000,874,679,402,277,114,163,195,47,148
48201221100,966,761,545,216,64,152,205,114,91
48201221200,1609,1385,843,542,180,362,224,83,141
48201221300,2298,1789,1103,686,252,434,509,339,170
48201221400,1797,1382,711,671,277,394,415,248,167
48201221500,2508,2077,1008,1069,201,868,431,199,232
48201221600,2509,2225,1377,848,261,587,284,190,94
48201221700,2139,1949,1129,820,276,544,190,42,148
48201221800,1007,740,486,254,76,178,267,181,86
48201221900,1159,932,645,287,68,219,227,158,69
48201222000,592,464,330,134,32,102,128,62,66
48201222100,1292,1076,660,416,88,328,216,132,84
48201222200,986,792,498,294,127,167,194,165,29
48201222300,1142,960,539,421,157,264,182,112,70
48201222401,876,707,357,350,123,227,169,89,80
48201222402,1428,1339,970,369,93,276,89,65,24
48201222501,1015,792,358,434,179,255,223,171,52
48201222502,988,868,505,363,148,215,120,72,48
48201222503,1799,1498,736,762,301,461,301,164,137
48201222600,1762,990,347,643,251,392,772,494,278
48201222700,2106,1249,266,983,171,812,857,331,526
48201222800,824,661,414,247,126,121,163,128,35
48201222900,2092,1845,1297,548,157,391,247,159,88
48201223001,1020,898,430,468,89,379,122,56,66
48201223002,1159,923,531,392,166,226,236,100,136
48201223100,551,446,282,164,67,97,105,30,75
48201230100,466,329,197,132,21,111,137,51,86
48201230200,1774,986,462,524,137,387,788,436,352
48201230300,723,360,116,244,81,163,363,230,133
48201230400,1150,760,204,556,153,403,390,239,151
48201230500,1057,736,456,280,31,249,321,245,76
48201230600,863,521,265,256,93,163,342,160,182
48201230700,925,582,233,349,124,225,343,182,161
48201230800,852,545,227,318,71,247,307,115,192
48201230900,1399,811,368,443,58,385,588,271,317
48201231000,1282,861,376,485,45,440,421,268,153
48201231100,1325,960,743,217,53,164,365,217,148
48201231200,2211,1801,686,1115,222,893,410,116,294
48201231300,1457,997,515,482,90,392,460,227,233
48201231400,898,654,269,385,119,266,244,99,145
48201231500,959,710,281,429,150,279,249,82,167
48201231600,1008,689,313,376,67,309,319,159,160
48201231700,945,690,478,212,90,122,255,192,63
48201231800,800,569,378,191,55,136,231,96,135
48201231900,2263,1449,678,771,306,465,814,377,437
48201232000,1163,942,639,303,12,291,221,114,107
48201232100,835,570,268,302,100,202,265,184,81
48201232200,5161,3381,2367,1014,386,628,1780,841,939
48201232301,3003,2564,1602,962,258,704,439,280,159
48201232302,2789,2515,1861,654,52,602,274,179,95
48201232401,2471,2188,1420,768,134,634,283,177,106
48201232402,1171,869,520,349,45,304,302,165,137
48201232403,1409,1022,601,421,142,279,387,233,154
48201232500,783,600,401,199,47,152,183,111,72
48201232600,901,733,552,181,61,120,168,74,94
48201232701,2354,1801,1048,753,303,450,553,326,227
48201232702,1970,1397,811,586,172,414,573,313,260
48201232800,2130,1320,721,599,154,445,810,550,260
48201232900,2777,1801,1097,704,142,562,976,579,397
48201233001,1305,790,361,429,64,365,515,358,157
48201233002,1188,1024,830,194,48,146,164,57,107
48201233003,817,654,427,227,76,151,163,54,109
48201233101,1219,873,548,325,126,199,346,189,157
48201233102,1785,1459,945,514,163,351,326,216,110
48201233103,1383,1091,575,516,188,328,292,176,116
48201233200,1713,1261,950,311,160,151,452,333,119
48201233300,1303,1094,782,312,129,183,209,116,93
48201233400,974,554,367,187,49,138,420,197,223
48201233500,2193,1760,1356,404,152,252,433,310,123
48201233600,756,462,244,218,32,186,294,116,178
48201233701,1466,1193,670,523,150,373,273,181,92
48201233702,815,680,452,228,0,228,135,69,66
48201233703,662,555,355,200,36,164,107,38,69
48201240100,1582,923,345,578,128,450,659,375,284
48201240400,2133,1550,1074,476,130,346,583,340,243
48201240501,2291,1277,560,717,167,550,1014,621,393
48201240502,2021,1296,353,943,48,895,725,488,237
48201240600,1017,563,160,403,86,317,454,271,183
48201240701,4546,3879,2377,1502,352,1150,667,527,140
48201240702,3242,2932,1760,1172,350,822,310,264,46
48201240801,2552,1699,747,952,404,548,853,484,369
48201240802,1378,964,636,328,64,264,414,210,204
48201240901,3105,2513,1883,630,191,439,592,325,267
48201240902,4184,3161,2208,953,250,703,1023,250,773
48201241000,2719,2007,1400,607,66,541,712,350,362
48201241101,1565,1183,776,407,57,350,382,279,103
48201241102,3792,2863,2061,802,228,574,929,527,402
48201241103,1462,1093,624,469,49,420,369,181,188
48201241200,2295,1804,1200,604,224,380,491,155,336
48201241300,3989,3096,2654,442,88,354,893,309,584
48201241400,3008,2107,1729,378,19,359,901,487,414
48201241500,3034,2078,975,1103,218,885,956,475,481
48201250100,2481,2098,1473,625,319,306,383,182,201
48201250200,2822,2165,1599,566,132,434,657,237,420
48201250301,2128,1566,979,587,230,357,562,404,158
48201250302,3485,2761,2048,713,168,545,724,398,326
48201250401,3584,2988,2309,679,67,612,596,248,348
48201250402,5660,4763,4029,734,203,531,897,583,314
48201250500,1930,1366,984,382,52,330,564,212,352
48201250600,2932,1942,1117,825,236,589,990,492,498
48201250701,1837,1468,1082,386,139,247,369,119,250
48201250702,1547,1313,1066,247,122,125,234,48,186
48201250800,2884,2407,2026,381,169,212,477,187,290
48201250900,3609,2565,2314,251,137,114,1044,403,641
48201251000,1329,908,650,258,105,153,421,179,242
48201251100,2998,2230,1938,292,24,268,768,304,464
48201251200,2127,1686,1410,276,0,276,441,181,260
48201251300,2738,2291,2040,251,109,142,447,201,246
48201251401,817,735,643,92,17,75,82,41,41
48201251402,2375,1556,1095,461,120,341,819,372,447
48201251501,1592,1386,1216,170,135,35,206,144,62
48201251502,3586,2941,2586,355,71,284,645,379,266
48201251503,746,623,552,71,33,38,123,80,43
48201251600,2120,1664,1343,321,101,220,456,208,248
48201251700,2894,2110,1503,607,324,283,784,437,347
48201251800,708,618,565,53,14,39,90,42,48
48201251901,3256,2726,2057,669,330,339,530,294,236
48201251902,1839,1429,1095,334,211,123,410,258,152
48201252000,4557,3774,2902,872,258,614,783,391,392
48201252100,650,498,399,99,46,53,152,68,84
